Geneid	ENSEMBL	log2FoldChange	padj	DEG
Surf2	ENSMUSG00000014873.15	-0.04	NA	NS
Gm13397	ENSMUSG00000083335.1	0.02	NA	NS
Gm13398	ENSMUSG00000087364.1	-0.04	NA	NS
Mymk	ENSMUSG00000009214.9	-0.03	NA	NS
Fam163b	ENSMUSG00000009216.7	-0.03	NA	NS
Dbhos	ENSMUSG00000085008.1	-0.02	NA	NS
Dbh	ENSMUSG00000000889.8	-0.06	NA	NS
Sardhos	ENSMUSG00000091192.1	0	NA	NS
Vav2	ENSMUSG00000009621.18	0.04	NA	NS
AA645442	ENSMUSG00000086669.1	-0.03	NA	NS
Gm24049	ENSMUSG00000076364.1	-0.01	NA	NS
Brd3os	ENSMUSG00000109946.1	-0.03	NA	NS
Mir7578	ENSMUSG00000098812.1	-0.01	NA	NS
Gm25541	ENSMUSG00000080538.1	0	NA	NS
Gm13421	ENSMUSG00000085929.1	-0.13	NA	NS
2810430I11Rik	ENSMUSG00000085766.1	-0.03	NA	NS
Col5a1	ENSMUSG00000026837.15	-0.05	NA	NS
Gm13372	ENSMUSG00000086560.1	0	NA	NS
Fcnb	ENSMUSG00000026835.15	-0.07	NA	NS
Gm13371	ENSMUSG00000085693.1	-0.02	NA	NS
F730016J06Rik	ENSMUSG00000086425.7	-0.07	NA	NS
1700007K13Rik	ENSMUSG00000026831.16	-0.02	NA	NS
Gbgt1	ENSMUSG00000026829.9	-0.01	NA	NS
Gm10134	ENSMUSG00000063611.4	0.02	NA	NS
Gm13381	ENSMUSG00000087667.8	-0.07	NA	NS
Gm22675	ENSMUSG00000089055.1	NA	NA	NS
Gm22824	ENSMUSG00000078061.1	-0.01	NA	NS
Tsc1	ENSMUSG00000026812.16	-0.14	NA	NS
Ak8	ENSMUSG00000026807.8	-0.07	NA	NS
Mir3088	ENSMUSG00000092832.1	0	NA	NS
Gm13385	ENSMUSG00000082796.1	NA	NA	NS
Gm13386	ENSMUSG00000083115.1	-0.01	NA	NS
Gtf3c4	ENSMUSG00000035666.14	-0.01	NA	NS
Ddx31	ENSMUSG00000026806.15	0.17	NA	NS
Barhl1	ENSMUSG00000026805.14	-0.02	NA	NS
Cfap77	ENSMUSG00000079502.8	0	NA	NS
Gm13394	ENSMUSG00000083773.4	-0.01	NA	NS
Gm13393	ENSMUSG00000086519.1	-0.01	NA	NS
Gm13396	ENSMUSG00000082788.1	NA	NA	NS
Med27	ENSMUSG00000026799.15	0.07	NA	NS
Gm13402	ENSMUSG00000086994.1	-0.01	NA	NS
Gm24976	ENSMUSG00000089597.1	NA	NA	NS
Mir133c	ENSMUSG00000098539.1	0	NA	NS
Gm13401	ENSMUSG00000082413.1	-0.01	NA	NS
Rapgef1	ENSMUSG00000039844.19	-0.16	NA	NS
Gm9823	ENSMUSG00000048316.3	NA	NA	NS
Gm13420	ENSMUSG00000079497.4	-0.04	NA	NS
Gm13547	ENSMUSG00000075425.10	-0.02	NA	NS
Trub2	ENSMUSG00000039826.13	0.12	NA	NS
Mir219a-2	ENSMUSG00000065485.1	NA	NA	NS
Mir219b	ENSMUSG00000105010.1	NA	NA	NS
2600006K01Rik	ENSMUSG00000039798.2	0	NA	NS
Cercam	ENSMUSG00000039787.13	-0.01	NA	NS
Odf2	ENSMUSG00000026790.19	0.05	NA	NS
Gm23865	ENSMUSG00000088348.1	NA	NA	NS
Mir6997	ENSMUSG00000098453.1	0	NA	NS
Wdr34	ENSMUSG00000039715.8	0.1	NA	NS
Zdhhc12	ENSMUSG00000015335.16	0	NA	NS
Kyat1	ENSMUSG00000039648.14	-0.06	NA	NS
1700084E18Rik	ENSMUSG00000100747.4	0	NA	NS
Gm28035	ENSMUSG00000099041.1	-0.01	NA	NS
Phyhd1	ENSMUSG00000079484.12	-0.04	NA	NS
Gm28038	ENSMUSG00000098794.1	NA	NA	NS
Dolk	ENSMUSG00000075419.4	0.05	NA	NS
Nup188	ENSMUSG00000052533.14	-0.03	NA	NS
Gm14471	ENSMUSG00000084892.1	-0.04	NA	NS
Gm47292	ENSMUSG00000105537.1	NA	NA	NS
Gm16323	ENSMUSG00000087435.1	-0.03	NA	NS
Gm14487	ENSMUSG00000085275.1	-0.02	NA	NS
Cstad	ENSMUSG00000047363.4	0	NA	NS
9330198N18Rik	ENSMUSG00000086405.1	0.03	NA	NS
Gm14486	ENSMUSG00000087268.1	0	NA	NS
Gm14488	ENSMUSG00000075416.5	0.03	NA	NS
Mir3089	ENSMUSG00000093091.1	NA	NA	NS
1700001O22Rik	ENSMUSG00000044320.14	0.03	NA	NS
4930527E20Rik	ENSMUSG00000085491.1	0	NA	NS
Prrx2	ENSMUSG00000039476.13	0	NA	NS
Gm13400	ENSMUSG00000084143.1	-0.02	NA	NS
BC005624	ENSMUSG00000026851.9	-0.01	NA	NS
Gm22516	ENSMUSG00000088891.1	0.01	NA	NS
Gm13405	ENSMUSG00000087430.1	-0.02	NA	NS
Gm13426	ENSMUSG00000084226.1	-0.01	NA	NS
Mir6998	ENSMUSG00000098904.1	0.01	NA	NS
Gm13425	ENSMUSG00000085224.2	-0.09	NA	NS
Prdm12	ENSMUSG00000079466.2	-0.02	NA	NS
Gm13424	ENSMUSG00000083143.2	0	NA	NS
Exosc2	ENSMUSG00000039356.15	0.09	NA	NS
Gm13427	ENSMUSG00000087549.1	0	NA	NS
Qrfp	ENSMUSG00000043102.2	0.04	NA	NS
Fibcd1	ENSMUSG00000026841.7	-0.03	NA	NS
Gm13441	ENSMUSG00000086356.1	-0.01	NA	NS
Gm13442	ENSMUSG00000085737.1	-0.02	NA	NS
Gm13608	ENSMUSG00000081480.1	0.04	NA	NS
Gm13609	ENSMUSG00000086192.1	0	NA	NS
Fam78a	ENSMUSG00000050592.8	-0.15	NA	NS
Gm16534	ENSMUSG00000090157.7	-0.02	NA	NS
Mir7674	ENSMUSG00000099075.1	NA	NA	NS
Gm27805	ENSMUSG00000099155.1	-0.03	NA	NS
Gm22192	ENSMUSG00000094382.1	0.01	NA	NS
Gm25632	ENSMUSG00000094251.1	0	NA	NS
Gm13610	ENSMUSG00000086216.1	0.01	NA	NS
Pomt1	ENSMUSG00000039254.16	-0.1	NA	NS
Gm23363	ENSMUSG00000092765.3	NA	NA	NS
Mir199b	ENSMUSG00000092807.1	-0.02	NA	NS
Lcn2	ENSMUSG00000026822.14	0.03	NA	NS
Slc25a25	ENSMUSG00000026819.15	-0.09	NA	NS
Naif1	ENSMUSG00000039164.2	0.06	NA	NS
Gm13412	ENSMUSG00000085017.1	0.01	NA	NS
9430097D07Rik	ENSMUSG00000075405.3	0.03	NA	NS
Pip5kl1	ENSMUSG00000046854.16	-0.02	NA	NS
Gm23369	ENSMUSG00000093147.1	-0.01	NA	NS
Mir1954	ENSMUSG00000093336.1	-0.01	NA	NS
Gm47291	ENSMUSG00000105312.1	NA	NA	NS
Gm26236	ENSMUSG00000093277.1	NA	NA	NS
Mir8093	ENSMUSG00000098972.1	NA	NA	NS
Mir2861	ENSMUSG00000093280.1	NA	NA	NS
Mir3960	ENSMUSG00000105841.1	NA	NA	NS
Sh2d3c	ENSMUSG00000059013.12	-0.05	NA	NS
6330409D20Rik	ENSMUSG00000009551.2	-0.03	NA	NS
Stxbp1	ENSMUSG00000026797.16	-0.05	NA	NS
Gm24165	ENSMUSG00000064652.1	0	NA	NS
Gm13524	ENSMUSG00000085397.1	-0.01	NA	NS
Gm13523	ENSMUSG00000087496.1	0	NA	NS
Fam129b	ENSMUSG00000026796.16	-0.01	NA	NS
Snora65	ENSMUSG00000065124.1	NA	NA	NS
Slc2a8	ENSMUSG00000026791.14	0.07	NA	NS
Gm38299	ENSMUSG00000104277.1	0.02	NA	NS
Gm13528	ENSMUSG00000085087.1	-0.04	NA	NS
Gm23546	ENSMUSG00000088836.1	-0.01	NA	NS
Gm13537	ENSMUSG00000082844.1	0.01	NA	NS
Gm25998	ENSMUSG00000093138.1	0	NA	NS
Zbtb34	ENSMUSG00000068966.10	-0.06	NA	NS
Gm13536	ENSMUSG00000085742.1	-0.03	NA	NS
Zbtb43	ENSMUSG00000026788.13	0	NA	NS
Gm13530	ENSMUSG00000086939.1	NA	NA	NS
Lmx1b	ENSMUSG00000038765.13	-0.02	NA	NS
Gm38011	ENSMUSG00000104403.1	0	NA	NS
C130021I20Rik	ENSMUSG00000052951.5	-0.04	NA	NS
Gm13529	ENSMUSG00000081244.3	0.02	NA	NS
9430024E24Rik	ENSMUSG00000085463.1	0	NA	NS
Nron	ENSMUSG00000086484.1	-0.06	NA	NS
Gm13403	ENSMUSG00000085987.2	-0.07	NA	NS
Gm13404	ENSMUSG00000086904.1	-0.02	NA	NS
C230014O12Rik	ENSMUSG00000087461.2	-0.07	NA	NS
Gm38389	ENSMUSG00000103413.1	-0.02	NA	NS
C79798	ENSMUSG00000084908.2	-0.01	NA	NS
Mapkap1	ENSMUSG00000038696.14	0.08	NA	NS
Gm13407	ENSMUSG00000083503.1	-0.01	NA	NS
Gm13406	ENSMUSG00000083233.1	-0.01	NA	NS
Gm13408	ENSMUSG00000081992.1	0.1	NA	NS
Gm13414	ENSMUSG00000087635.3	-0.01	NA	NS
Gm13419	ENSMUSG00000081904.2	NA	NA	NS
Gm34653	ENSMUSG00000107167.3	0.02	NA	NS
Cutal	ENSMUSG00000026870.19	0.1	NA	NS
Phf19	ENSMUSG00000026873.9	0	NA	NS
Gm13448	ENSMUSG00000086001.1	0	NA	NS
Gm24905	ENSMUSG00000088754.1	NA	NA	NS
Traf1	ENSMUSG00000026875.14	0	NA	NS
Gm13450	ENSMUSG00000083533.2	0.06	NA	NS
Gm13449	ENSMUSG00000085599.1	-0.02	NA	NS
Gm13605	ENSMUSG00000084768.2	-0.02	NA	NS
Gm43128	ENSMUSG00000106961.1	-0.03	NA	NS
4930568D16Rik	ENSMUSG00000026882.1	0	NA	NS
4930402F06Rik	ENSMUSG00000079421.8	-0.02	NA	NS
Ggta1	ENSMUSG00000035778.17	-0.06	NA	NS
Gm43761	ENSMUSG00000106856.1	-0.05	NA	NS
Gm13444	ENSMUSG00000081841.1	0	NA	NS
Gm35202	ENSMUSG00000085668.2	0	NA	NS
Gm13446	ENSMUSG00000086555.2	-0.02	NA	NS
Ttll11	ENSMUSG00000026885.13	-0.12	NA	NS
Morn5	ENSMUSG00000026894.4	-0.01	NA	NS
Gm43764	ENSMUSG00000107351.1	-0.07	NA	NS
Lhx6	ENSMUSG00000026890.19	-0.09	NA	NS
Gm27953	ENSMUSG00000098312.1	NA	NA	NS
Gm13428	ENSMUSG00000081496.1	NA	NA	NS
Gm13429	ENSMUSG00000085141.1	NA	NA	NS
Gm13431	ENSMUSG00000087187.1	-0.03	NA	NS
Ptgs1	ENSMUSG00000047250.13	0.09	NA	NS
Olfr334-ps1	ENSMUSG00000083034.2	-0.02	NA	NS
Olfr335-ps	ENSMUSG00000113163.1	-0.01	NA	NS
Olfr336-ps1	ENSMUSG00000082583.2	0	NA	NS
Olfr337-ps1	ENSMUSG00000080936.2	-0.01	NA	NS
Olfr338	ENSMUSG00000068950.3	-0.09	NA	NS
Gm13430	ENSMUSG00000083101.1	-0.03	NA	NS
Olfr340	ENSMUSG00000094266.1	-0.01	NA	NS
Olfr341	ENSMUSG00000075387.2	-0.07	NA	NS
Olfr342	ENSMUSG00000111869.1	-0.09	NA	NS
Gm47783	ENSMUSG00000110769.1	NA	NA	NS
Olfr343-ps1	ENSMUSG00000080960.1	-0.02	NA	NS
Olfr344	ENSMUSG00000096822.2	-0.02	NA	NS
Olfr345	ENSMUSG00000059251.1	0.02	NA	NS
Olfr346	ENSMUSG00000094764.2	-0.03	NA	NS
Gm13438	ENSMUSG00000082251.1	0	NA	NS
Olfr348	ENSMUSG00000049315.4	-0.07	NA	NS
Olfr50	ENSMUSG00000111021.2	-0.06	NA	NS
Olfr3	ENSMUSG00000075384.2	-0.02	NA	NS
Olfr349-ps1	ENSMUSG00000084078.2	0	NA	NS
Olfr350	ENSMUSG00000050015.3	-0.03	NA	NS
Olfr351	ENSMUSG00000075383.4	-0.04	NA	NS
Olfr352	ENSMUSG00000053146.2	-0.11	NA	NS
Olfr353	ENSMUSG00000075382.3	-0.05	NA	NS
Gm13440	ENSMUSG00000081591.1	NA	NA	NS
Olfr355	ENSMUSG00000075380.2	-0.1	NA	NS
Olfr356	ENSMUSG00000070943.3	-0.01	NA	NS
Olfr358	ENSMUSG00000075379.4	-0.05	NA	NS
Olfr359-ps1	ENSMUSG00000081737.2	-0.01	NA	NS
Gm13439	ENSMUSG00000081174.1	0	NA	NS
Olfr360	ENSMUSG00000083361.4	-0.02	NA	NS
Olfr361	ENSMUSG00000075378.2	-0.02	NA	NS
Olfr362	ENSMUSG00000075377.2	-0.08	NA	NS
Olfr363-ps	ENSMUSG00000068948.4	0	NA	NS
Olfr364-ps1	ENSMUSG00000078198.2	-0.07	NA	NS
Olfr365	ENSMUSG00000059429.3	-0.05	NA	NS
Gm13435	ENSMUSG00000083815.1	0.01	NA	NS
Olfr366	ENSMUSG00000068947.2	-0.07	NA	NS
Olfr367-ps	ENSMUSG00000049094.7	-0.01	NA	NS
Gm22306	ENSMUSG00000064626.1	0	NA	NS
Olfr368	ENSMUSG00000049018.8	-0.02	NA	NS
Rc3h2	ENSMUSG00000075376.10	-0.03	NA	NS
Snord90	ENSMUSG00000077756.1	0	NA	NS
Zbtb26	ENSMUSG00000050714.9	-0.03	NA	NS
Rabgap1	ENSMUSG00000035437.15	0.02	NA	NS
Strbp	ENSMUSG00000026915.16	-0.11	NA	NS
Gm17893	ENSMUSG00000107491.1	-0.05	NA	NS
Gm44063	ENSMUSG00000108226.1	0.01	NA	NS
Gm13543	ENSMUSG00000083745.1	-0.02	NA	NS
Mir5128	ENSMUSG00000092958.1	-0.01	NA	NS
Gm44283	ENSMUSG00000107586.1	-0.04	NA	NS
Gm44291	ENSMUSG00000107529.1	-0.03	NA	NS
Gm44455	ENSMUSG00000105046.1	-0.01	NA	NS
Gm13556	ENSMUSG00000087294.2	-0.03	NA	NS
Lhx2	ENSMUSG00000000247.11	-0.04	NA	NS
Gm27197	ENSMUSG00000098383.1	NA	NA	NS
Gm13584	ENSMUSG00000087539.1	-0.01	NA	NS
Gm13589	ENSMUSG00000085950.1	-0.04	NA	NS
Gm25081	ENSMUSG00000064468.1	-0.01	NA	NS
Gm44062	ENSMUSG00000107883.1	-0.1	NA	NS
Gm44183	ENSMUSG00000107535.1	-0.01	NA	NS
Gm13586	ENSMUSG00000082931.1	-0.09	NA	NS
Gm27634	ENSMUSG00000095278.2	-0.01	NA	NS
Adgrd2-ps	ENSMUSG00000083722.1	-0.05	NA	NS
Gm13587	ENSMUSG00000087062.1	-0.01	NA	NS
Nr5a1	ENSMUSG00000026751.14	-0.04	NA	NS
Nr5a1os	ENSMUSG00000087164.1	-0.01	NA	NS
Gm44146	ENSMUSG00000108124.1	0.03	NA	NS
Rpl15-ps4	ENSMUSG00000082508.1	0	NA	NS
Mir181a-2	ENSMUSG00000065423.1	-0.03	NA	NS
Mir181b-2	ENSMUSG00000065578.1	NA	NA	NS
Gm13473	ENSMUSG00000083776.1	0	NA	NS
Gm13474	ENSMUSG00000084184.1	-0.05	NA	NS
Gm13496	ENSMUSG00000085755.1	0.03	NA	NS
Gm26127	ENSMUSG00000065127.1	0	NA	NS
Gm18791	ENSMUSG00000107833.1	-0.03	NA	NS
Gm44027	ENSMUSG00000107955.1	-0.06	NA	NS
Gm13511	ENSMUSG00000083157.1	-0.02	NA	NS
Gm13504	ENSMUSG00000083686.2	0.03	NA	NS
Vmn2r-ps2	ENSMUSG00000081144.1	-0.01	NA	NS
Gm13506	ENSMUSG00000083401.1	-0.03	NA	NS
Gm13454	ENSMUSG00000081839.1	-0.01	NA	NS
Gm13451	ENSMUSG00000084285.1	0	NA	NS
Gm13452	ENSMUSG00000082015.1	0	NA	NS
Gm43944	ENSMUSG00000108203.1	NA	NA	NS
Gm43970	ENSMUSG00000107699.1	-0.06	NA	NS
Gm13457	ENSMUSG00000084171.1	-0.01	NA	NS
Gm13458	ENSMUSG00000083398.1	-0.01	NA	NS
Gm13455	ENSMUSG00000081577.1	0	NA	NS
Gm24467	ENSMUSG00000088512.1	-0.01	NA	NS
Gm27348	ENSMUSG00000098953.1	0	NA	NS
Gm13462	ENSMUSG00000082930.1	-0.03	NA	NS
Gm13460	ENSMUSG00000083260.1	-0.02	NA	NS
Gm13463	ENSMUSG00000081085.1	NA	NA	NS
Mir6336	ENSMUSG00000098660.1	0	NA	NS
Gm24350	ENSMUSG00000105844.1	-0.01	NA	NS
Gm13464	ENSMUSG00000080994.2	0.01	NA	NS
Arhgap15	ENSMUSG00000049744.15	-0.02	NA	NS
Arhgap15os	ENSMUSG00000085089.1	-0.01	NA	NS
Gm22867	ENSMUSG00000088124.1	NA	NA	NS
Gtdc1	ENSMUSG00000036890.13	0.05	NA	NS
Gm13477	ENSMUSG00000083849.1	-0.07	NA	NS
Mir5129	ENSMUSG00000092679.1	NA	NA	NS
Zeb2os	ENSMUSG00000052248.16	-0.01	NA	NS
Gm27761	ENSMUSG00000098566.1	NA	NA	NS
Gm27404	ENSMUSG00000099117.1	NA	NA	NS
Gm27645	ENSMUSG00000098367.1	NA	NA	NS
Gm28643	ENSMUSG00000100135.1	0	NA	NS
Vis1	ENSMUSG00000098320.1	0	NA	NS
Gm13475	ENSMUSG00000081830.1	0	NA	NS
Gm13479	ENSMUSG00000085591.1	-0.06	NA	NS
Gm13478	ENSMUSG00000083510.1	-0.02	NA	NS
1700019E08Rik	ENSMUSG00000086202.1	-0.02	NA	NS
Gm13465	ENSMUSG00000086710.1	-0.02	NA	NS
Gm13467	ENSMUSG00000086830.1	-0.01	NA	NS
Gm13466	ENSMUSG00000083807.1	0	NA	NS
Gm23072	ENSMUSG00000088868.1	NA	NA	NS
Gm13469	ENSMUSG00000082679.1	0	NA	NS
Gm13470	ENSMUSG00000086644.1	-0.01	NA	NS
Gm25264	ENSMUSG00000089144.1	-0.01	NA	NS
Gm25959	ENSMUSG00000092853.1	NA	NA	NS
Gm13481	ENSMUSG00000086353.1	0.02	NA	NS
Gm13471	ENSMUSG00000082278.1	-0.01	NA	NS
Gm13482	ENSMUSG00000083966.1	-0.01	NA	NS
Gm25338	ENSMUSG00000080499.1	-0.01	NA	NS
Gm13472	ENSMUSG00000083866.1	-0.02	NA	NS
Gm13489	ENSMUSG00000082114.2	-0.01	NA	NS
Acvr2a	ENSMUSG00000052155.5	0.05	NA	NS
Gm13510	ENSMUSG00000080937.1	-0.02	NA	NS
Gm13508	ENSMUSG00000084177.1	-0.01	NA	NS
Gm25215	ENSMUSG00000077769.1	-0.01	NA	NS
Epc2	ENSMUSG00000069495.12	-0.04	NA	NS
Gm13525	ENSMUSG00000082879.1	-0.01	NA	NS
Gm13480	ENSMUSG00000085357.1	-0.02	NA	NS
Gm25223	ENSMUSG00000088825.1	NA	NA	NS
Gm13483	ENSMUSG00000085862.2	-0.07	NA	NS
Gm48908	ENSMUSG00000115545.1	0	NA	NS
Gm13486	ENSMUSG00000082483.1	-0.01	NA	NS
Gm13488	ENSMUSG00000081457.1	0.01	NA	NS
Gm13487	ENSMUSG00000083449.1	0.01	NA	NS
Gm13485	ENSMUSG00000085429.1	0.03	NA	NS
Gm13484	ENSMUSG00000082846.1	0	NA	NS
Gm13498	ENSMUSG00000083270.1	0.01	NA	NS
Rnd3	ENSMUSG00000017144.8	-0.07	NA	NS
Gm28639	ENSMUSG00000100496.1	0	NA	NS
Gm13500	ENSMUSG00000081173.1	0.02	NA	NS
Gm13497	ENSMUSG00000086349.1	0	NA	NS
Gm13499	ENSMUSG00000086523.1	-0.03	NA	NS
1700057H21Rik	ENSMUSG00000086007.1	-0.03	NA	NS
Gm23505	ENSMUSG00000089614.1	0	NA	NS
Gm13494	ENSMUSG00000084334.1	-0.01	NA	NS
Gm13491	ENSMUSG00000083472.1	0	NA	NS
Tas2r134	ENSMUSG00000056115.2	-0.01	NA	NS
Gm13490	ENSMUSG00000085014.1	-0.04	NA	NS
Gm13492	ENSMUSG00000081484.1	-0.01	NA	NS
Gm13493	ENSMUSG00000087701.4	0.14	NA	NS
Gm13495	ENSMUSG00000080782.1	0	NA	NS
Tnfaip6	ENSMUSG00000053475.5	-0.03	NA	NS
Gm22095	ENSMUSG00000089609.1	0	NA	NS
Gm13521	ENSMUSG00000081158.1	0	NA	NS
Gm13522	ENSMUSG00000086447.2	-0.04	NA	NS
Arl5a	ENSMUSG00000036093.7	0.12	NA	NS
Gm13541	ENSMUSG00000082132.1	-0.01	NA	NS
Gm13548	ENSMUSG00000085815.1	0	NA	NS
Fmnl2	ENSMUSG00000036053.17	0	NA	NS
Gm26603	ENSMUSG00000097857.1	-0.1	NA	NS
Arl6ip6	ENSMUSG00000026960.6	0.16	NA	NS
Gm25898	ENSMUSG00000088928.1	NA	NA	NS
Gm13501	ENSMUSG00000082472.1	0	NA	NS
Gm13502	ENSMUSG00000083287.4	0.03	NA	NS
Gm23315	ENSMUSG00000088628.1	0.01	NA	NS
Rprm	ENSMUSG00000075334.2	0.02	NA	NS
Gm22298	ENSMUSG00000064596.1	0	NA	NS
Gm13505	ENSMUSG00000082096.1	0	NA	NS
Gm14035	ENSMUSG00000080742.1	-0.05	NA	NS
Gm14034	ENSMUSG00000083684.1	0	NA	NS
Gm24549	ENSMUSG00000089272.1	0	NA	NS
Gm25489	ENSMUSG00000089352.1	0	NA	NS
Gm14032	ENSMUSG00000082301.1	0	NA	NS
Gm14033	ENSMUSG00000087040.1	-0.01	NA	NS
Gm26794	ENSMUSG00000097837.1	-0.03	NA	NS
Kcnj3	ENSMUSG00000026824.11	0.02	NA	NS
Gm13517	ENSMUSG00000082971.1	-0.02	NA	NS
Gm13518	ENSMUSG00000082142.1	-0.01	NA	NS
Mir195b	ENSMUSG00000098437.1	-0.01	NA	NS
Gm13527	ENSMUSG00000082578.1	-0.03	NA	NS
Nr4a2	ENSMUSG00000026826.13	-0.01	NA	NS
BB557941	ENSMUSG00000084938.1	-0.01	NA	NS
4930555B11Rik	ENSMUSG00000086396.1	-0.03	NA	NS
Gm13526	ENSMUSG00000080812.1	0	NA	NS
Gm13531	ENSMUSG00000084338.5	0.02	NA	NS
Gm13532	ENSMUSG00000081642.1	0	NA	NS
Gm13533	ENSMUSG00000084294.1	NA	NA	NS
Gm25388	ENSMUSG00000087964.1	-0.01	NA	NS
Gm33594	ENSMUSG00000110205.1	0	NA	NS
Ermn	ENSMUSG00000026830.9	0.01	NA	NS
Gm13534	ENSMUSG00000053472.3	NA	NA	NS
Gm13545	ENSMUSG00000082408.1	-0.01	NA	NS
Acvr1	ENSMUSG00000026836.15	-0.13	NA	NS
Gm17409	ENSMUSG00000091922.1	-0.01	NA	NS
Upp2	ENSMUSG00000026839.17	-0.02	NA	NS
Gm13558	ENSMUSG00000086129.1	-0.01	NA	NS
Gm13559	ENSMUSG00000080985.1	-0.01	NA	NS
Gm11099	ENSMUSG00000079353.2	NA	NA	NS
Gm13560	ENSMUSG00000082800.1	-0.01	NA	NS
Gm13557	ENSMUSG00000082989.1	-0.01	NA	NS
Gm13550	ENSMUSG00000084250.1	-0.01	NA	NS
5330411J11Rik	ENSMUSG00000087455.7	-0.03	NA	NS
Gm13551	ENSMUSG00000083276.1	0.01	NA	NS
Dapl1	ENSMUSG00000026989.5	-0.02	NA	NS
Gm13552	ENSMUSG00000081157.1	0.01	NA	NS
Tanc1	ENSMUSG00000035168.16	-0.07	NA	NS
Wdsub1	ENSMUSG00000026988.15	-0.14	NA	NS
Gm13574	ENSMUSG00000081236.1	-0.03	NA	NS
Gm13570	ENSMUSG00000087181.3	-0.01	NA	NS
Gm13620	ENSMUSG00000086603.1	NA	NA	NS
Gm13580	ENSMUSG00000087283.1	-0.04	NA	NS
Gm13583	ENSMUSG00000086578.2	-0.07	NA	NS
Gm13566	ENSMUSG00000084115.1	-0.01	NA	NS
Gm13567	ENSMUSG00000083195.1	-0.03	NA	NS
Itgb6	ENSMUSG00000026971.15	-0.13	NA	NS
Rbms1	ENSMUSG00000026970.16	0.06	NA	NS
Gm13582	ENSMUSG00000075325.3	0	NA	NS
Gm13579	ENSMUSG00000083334.1	-0.01	NA	NS
Gm13581	ENSMUSG00000083197.1	0	NA	NS
Gm26422	ENSMUSG00000077464.1	-0.01	NA	NS
Gm22338	ENSMUSG00000088340.1	0	NA	NS
Gm13626	ENSMUSG00000081954.1	-0.01	NA	NS
Gm22403	ENSMUSG00000092660.1	0	NA	NS
Gm25966	ENSMUSG00000087794.1	-0.02	NA	NS
Tbr1	ENSMUSG00000035033.15	0	NA	NS
Gm13555	ENSMUSG00000083018.1	0	NA	NS
Gm13565	ENSMUSG00000087681.1	-0.01	NA	NS
Gm13564	ENSMUSG00000087422.1	-0.01	NA	NS
Gm13590	ENSMUSG00000081817.1	-0.09	NA	NS
Gm22020	ENSMUSG00000077546.1	NA	NA	NS
Gm13569	ENSMUSG00000085029.1	-0.01	NA	NS
Gm23503	ENSMUSG00000065837.1	NA	NA	NS
Gm13575	ENSMUSG00000087702.1	0	NA	NS
Gm13577	ENSMUSG00000082127.2	-0.01	NA	NS
Gm13576	ENSMUSG00000081065.1	-0.03	NA	NS
Gm13594	ENSMUSG00000086881.1	0.01	NA	NS
Gm13592	ENSMUSG00000083707.1	-0.02	NA	NS
Gm13593	ENSMUSG00000080766.1	0	NA	NS
Slc38a11	ENSMUSG00000061171.15	-0.07	NA	NS
Mir6337	ENSMUSG00000099184.1	0	NA	NS
Gm24138	ENSMUSG00000088197.1	-0.01	NA	NS
Gm13595	ENSMUSG00000086701.1	-0.02	NA	NS
Gm13619	ENSMUSG00000052865.5	-0.04	NA	NS
Gm13617	ENSMUSG00000085160.1	0	NA	NS
Gm28638	ENSMUSG00000100197.1	NA	NA	NS
Gm13616	ENSMUSG00000080728.1	NA	NA	NS
Ttc21b	ENSMUSG00000034848.17	-0.05	NA	NS
Gm13618	ENSMUSG00000086671.1	-0.01	NA	NS
Gm13630	ENSMUSG00000085386.1	-0.08	NA	NS
Gm13629	ENSMUSG00000087301.7	-0.02	NA	NS
Rpl35-ps1	ENSMUSG00000080855.3	0.02	NA	NS
Gm13627	ENSMUSG00000081307.1	NA	NA	NS
Gm23046	ENSMUSG00000088994.1	-0.01	NA	NS
Scn7a	ENSMUSG00000034810.7	-0.07	NA	NS
Gm13600	ENSMUSG00000081973.1	0	NA	NS
Gm13602	ENSMUSG00000082218.1	0	NA	NS
Gm13598	ENSMUSG00000086908.1	-0.01	NA	NS
Gm1322	ENSMUSG00000075314.4	-0.01	NA	NS
Gm13599	ENSMUSG00000087043.1	-0.01	NA	NS
Gm21830	ENSMUSG00000096240.1	0	NA	NS
Gm23328	ENSMUSG00000088043.1	NA	NA	NS
Gm26727	ENSMUSG00000097112.1	NA	NA	NS
Gm13601	ENSMUSG00000087467.1	0.01	NA	NS
B3galt1	ENSMUSG00000034780.6	-0.08	NA	NS
Mir7224	ENSMUSG00000098299.1	0	NA	NS
Gm26743	ENSMUSG00000097067.1	-0.02	NA	NS
Gm13603	ENSMUSG00000081299.1	-0.01	NA	NS
Mir6335	ENSMUSG00000098734.1	NA	NA	NS
Gm37964	ENSMUSG00000104398.1	0.01	NA	NS
Gm13607	ENSMUSG00000081257.1	-0.01	NA	NS
Stk39	ENSMUSG00000027030.15	-0.11	NA	NS
Gm13596	ENSMUSG00000085182.1	-0.01	NA	NS
Gm26321	ENSMUSG00000088365.1	0	NA	NS
Gm49461	ENSMUSG00000116244.1	0	NA	NS
Gm49462	ENSMUSG00000115996.1	NA	NA	NS
Gm36002	ENSMUSG00000115973.1	-0.01	NA	NS
4933409G03Rik	ENSMUSG00000053896.14	-0.07	NA	NS
