seqnames	start	end	width	strand	peakID	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	SYMBOL
chr2	50921065	50921359	295	*	peak_1557	Distal Intergenic	2	50909684	50911849	2166	1	Gm13498
chr5	45491897	45492208	312	*	peak_2095	Promoter	5	45493374	45512691	19318	1	Lap3
chr11	85775556	85776203	648	*	peak_473	Promoter	11	85766831	85775680	8850	2	Bcas3os2
chr11	99473451	99473705	255	*	peak_520	Distal Intergenic	11	99477974	99493137	15164	2	Krt23
chr4	143238433	143238798	366	*	peak_2025	Distal Intergenic	4	143179345	143212995	33651	2	Prdm2
chr5	134951042	134951809	768	*	peak_2220	Distal Intergenic	5	134945119	134946934	1816	2	Cldn4
chrY	11857968	11858318	351	*	peak_2960	Distal Intergenic	21	11197162	11197848	687	2	Gm20822
chr5	151296416	151296621	206	*	peak_2255	Intron	5	151073308	151233836	160529	2	Stard13
chr11	109071393	109071631	239	*	peak_550	Distal Intergenic	11	109139291	109144369	5079	2	E030025P04Rik
chr3	89788270	89788532	263	*	peak_1781	Distal Intergenic	3	89774288	89782744	8457	1	Ube2q1
chr15	61482000	61482722	723	*	peak_993	Distal Intergenic	15	61534676	61745184	210509	2	D030024E09Rik
chr17	90934905	90935216	312	*	peak_1300	Intron	17	90861169	90867102	5934	1	4930480K15Rik
chr10	21090765	21091393	629	*	peak_221	Distal Intergenic	10	21069845	21074406	4562	1	Ahi1
chr6	115541967	115542213	247	*	peak_2377	Promoter	6	115544664	115554272	9609	1	Tsen2
chr5	131836027	131836458	432	*	peak_2216	Intron	5	131880269	131883768	3500	1	4930563F08Rik
chr11	75190342	75190667	326	*	peak_453	Promoter	11	75177643	75190519	12877	2	Dph1
chr3	60169264	60169952	689	*	peak_1752	Distal Intergenic	3	60081902	60086325	4424	1	Sucnr1
chr3	117873041	117873983	943	*	peak_1815	Distal Intergenic	3	117781647	117868936	87290	2	Snx7
chr14	79258913	79260225	1313	*	peak_926	Distal Intergenic	14	79222929	79247369	24441	2	Zfp957
chr4	150825495	150825844	350	*	peak_2044	Exon	4	150853919	150868892	14974	1	Errfi1
chr18	20456828	20457035	208	*	peak_1314	Exon	18	20436175	20471821	35647	1	Dsg4
chr1	164470533	164471384	852	*	peak_152	Distal Intergenic	1	164437109	164458355	21247	2	Atp1b1
chr7	46845341	46845561	221	*	peak_2473	Promoter	7	46845839	46855627	9789	1	Ldha
chr2	49815695	49816139	445	*	peak_1554	Intron	2	49840090	49942537	102448	1	Lypd6b
chr7	143122227	143122666	440	*	peak_2592	Intron	7	143109194	143149537	40344	1	Kcnq1
chr7	24762568	24762972	405	*	peak_2445	Promoter	7	24743983	24760311	16329	2	Cd177
chr15	77929542	77929930	389	*	peak_1009	Promoter	15	77915047	77929006	13960	2	Txn2
chr10	111335713	111336282	570	*	peak_326	Distal Intergenic	10	111298679	111301727	3049	1	Bbs10
chr6	114968301	114968840	540	*	peak_2375	Promoter	6	114862321	114969180	106860	2	Vgll4
chr9	67756777	67757666	890	*	peak_2857	Promoter	9	67759437	67760930	1494	1	C2cd4b
chr4	88955597	88956191	595	*	peak_1935	Distal Intergenic	4	88909855	88938521	28667	2	Gm49890
chr1	53785358	53785603	246	*	peak_34	Promoter	1	53755506	53785224	29719	2	Stk17b
chr2	139873776	139873995	220	*	peak_1660	Intron	2	139976532	140042214	65683	2	Tasp1
chr19	24557544	24557803	260	*	peak_1444	Promoter	19	24294794	24555872	261079	2	Pip5k1b
chr16	24295986	24296288	303	*	peak_1102	Intron	16	24393507	24685183	291677	1	Lpp
chr8	128473936	128474276	341	*	peak_2766	Intron	8	128359397	128462081	102685	1	Nrp1
chr2	84826738	84827818	1081	*	peak_1612	Promoter	2	84826997	84830213	3217	1	Timm10
chr6	39255791	39256038	248	*	peak_2292	Distal Intergenic	6	39136623	39206789	70167	2	Kdm7a
chr5	119069745	119070283	539	*	peak_2196	Distal Intergenic	5	119108234	119114543	6310	1	1700081H04Rik
chr14	34661099	34662013	915	*	peak_854	Exon	14	34673928	34747983	74056	1	Wapl
chr2	144195056	144195615	560	*	peak_1670	Intron	2	144173685	144191246	17562	2	Gm5535
chr4	106982608	106983052	445	*	peak_1954	Intron	4	106966426	107031067	64642	1	Ssbp3
chr3	102996113	102996322	210	*	peak_1799	Promoter	3	102996176	103001836	5661	1	Sike1
chr9	7691898	7692224	327	*	peak_2769	Promoter	9	7692090	7699585	7496	1	Mmp7
chr17	66357051	66357404	354	*	peak_1262	Intron	17	66343946	66346545	2600	2	Mtcl1
chr15	78844883	78845113	231	*	peak_1011	Promoter	15	78842624	78850897	8274	1	Cdc42ep1
chr12	86241607	86241842	236	*	peak_655	Promoter	12	86241858	86291784	49927	1	Gpatch2l
chr16	13276380	13276762	383	*	peak_1084	Intron	16	13265076	13332919	67844	1	Mrtfb
chr11	86603231	86603662	432	*	peak_475	Promoter	11	86585272	86602295	17024	2	Vmp1
chr12	40459033	40459262	230	*	peak_614	Intron	12	40446336	40846180	399845	1	Dock4
chr18	20451124	20451421	298	*	peak_1313	Intron	18	20436175	20471821	35647	1	Dsg4
chr13	98204450	98204711	262	*	peak_792	Promoter	13	97899469	98206167	306699	2	Arhgef28
chr1	87174332	87175601	1270	*	peak_71	Distal Intergenic	1	87183313	87188405	5093	1	Prss56
chr13	24955515	24956298	784	*	peak_710	Promoter	13	24955854	24962818	6965	1	Gpld1
chr7	112213064	112213361	298	*	peak_2532	Distal Intergenic	7	112225856	112355194	129339	1	Mical2
chr16	87442995	87443626	632	*	peak_1156	Promoter	16	87436696	87440573	3878	2	Rwdd2b
chr12	100289419	100289902	484	*	peak_661	Promoter	12	100290256	100297393	7138	1	Gm10432
chr14	46060910	46061197	288	*	peak_857	Exon	14	46379414	46383418	4005	1	Gm15217
chr2	61711735	61712517	783	*	peak_1577	Promoter	2	61711742	61720851	9110	1	Psmd14
chr7	19006853	19007836	984	*	peak_2435	Distal Intergenic	7	19004044	19006777	2734	1	Irf2bp1
chr18	35831813	35832015	203	*	peak_1331	Promoter	18	35830314	35859163	28850	1	Cxxc5
chr6	5828654	5829091	438	*	peak_2258	Intron	6	5757419	5784898	27480	1	Dync1i1
chr13	101465602	101466041	440	*	peak_797	Distal Intergenic	13	101254319	101293434	39116	1	4933416M06Rik
chr4	95771926	95772401	476	*	peak_1939	Promoter	4	95769509	95926939	157431	1	Fggy
chr6	127152544	127152924	381	*	peak_2391	Promoter	6	127146023	127152193	6171	2	Ccnd2
chr15	62017263	62017915	653	*	peak_1001	Distal Intergenic	15	62037986	62249528	211543	1	Pvt1
chr14	61045503	61046779	1277	*	peak_892	Promoter	14	60964036	61046469	82434	2	Tnfrsf19
chr4	44172860	44173227	368	*	peak_1883	Intron	4	44126215	44168339	42125	2	Rnf38
chr2	58552496	58552761	266	*	peak_1569	Intron	2	58477758	58538438	60681	2	Acvr1
chr8	26981343	26981783	441	*	peak_2633	3' UTR	8	26978185	26978692	508	1	Zfp703
chr8	88521091	88521294	204	*	peak_2694	Promoter	8	88521354	88593618	72265	1	Nkd1
chr4	139535085	139535861	777	*	peak_2016	Intron	4	139531689	139620379	88691	1	Iffo2
chr9	123925390	123925787	398	*	peak_2932	Distal Intergenic	9	123962124	123968692	6569	2	Ccr1
chr15	103014521	103014761	241	*	peak_1074	Promoter	15	103014910	103015001	92	1	Mir615
chr5	67990474	67990739	266	*	peak_2118	Distal Intergenic	5	68031835	68166398	134564	1	Grxcr1
chr2	21234031	21235265	1235	*	peak_1523	Distal Intergenic	2	21205787	21214308	8522	1	Thnsl1
chr3	130983067	130983319	253	*	peak_1828	Distal Intergenic	3	131110471	131224356	113886	1	Lef1
chr9	92293878	92294572	695	*	peak_2877	Intron	9	92290819	92291784	966	1	Plscr2
chr12	79936733	79937215	483	*	peak_646	Promoter	12	79917845	79936264	18420	2	9430078K24Rik
chr19	25856495	25856769	275	*	peak_1449	Distal Intergenic	19	25672411	25678991	6581	1	Dmrt2
chr9	14275219	14275807	589	*	peak_2775	Promoter	9	14275083	14325777	50695	1	Sesn3
chr6	134103403	134103756	354	*	peak_2400	Intron	6	134035969	134248284	212316	1	Etv6
chr2	180966352	180966897	546	*	peak_1722	Promoter	2	180967225	180982458	15234	1	Arfgap1
chr5	139353385	139353697	313	*	peak_2231	Promoter	5	139352617	139357033	4417	1	Cyp2w1
chr14	76151407	76152413	1007	*	peak_920	Distal Intergenic	14	76110891	76137379	26489	1	Nufip1
chr11	113296868	113297288	421	*	peak_564	Intron	11	113203315	113209669	6355	2	4732490B19Rik
chr2	132198108	132198565	458	*	peak_1652	Intron	2	132239492	132247654	8163	2	Tmem230
chr15	56695813	56696206	394	*	peak_983	Promoter	15	56665627	56694539	28913	2	Has2
chr17	84365710	84366401	692	*	peak_1293	Promoter	17	84191537	84368780	177244	2	Thada
chr10	102616149	102616588	440	*	peak_318	Distal Intergenic	10	102540248	102546197	5950	1	Rassf9
chr13	34287472	34288225	754	*	peak_724	Intron	13	34221370	34344203	122834	2	Slc22a23
chr8	123708464	123709035	572	*	peak_2747	Intron	8	123733958	123739941	5984	1	6030466F02Rik
chr3	142325542	142326020	479	*	peak_1842	Intron	3	142249427	142304442	55016	2	Pdlim5
chr3	102997467	102998007	541	*	peak_1800	Promoter	3	102996176	103001836	5661	1	Sike1
chr6	94676938	94677149	212	*	peak_2354	Promoter	6	94628075	94678865	50791	2	Lrig1
chr15	98952717	98953786	1070	*	peak_1057	Promoter	15	98949837	98953703	3867	2	Tuba1a
chr10	111578626	111578967	342	*	peak_330	Distal Intergenic	10	111586719	111594273	7555	2	4933440J02Rik
chr1	133434183	133434414	232	*	peak_110	Distal Intergenic	1	133382303	133424377	42075	2	Sox13
chr4	57135597	57136318	722	*	peak_1899	Promoter	4	57078875	57138192	59318	2	Epb41l4b
chr14	98169698	98169956	259	*	peak_934	Promoter	14	97825866	98169765	343900	2	Dach1
chr5	53676764	53677071	308	*	peak_2102	Distal Intergenic	5	53697776	53707253	9478	2	Cckar
chr18	72918637	72918838	202	*	peak_1388	Intron	18	71253634	72351069	1097436	2	Dcc
chr12	31443912	31444542	631	*	peak_604	Intron	12	31447435	31455079	7645	1	Slc26a3
chr9	51230743	51231022	280	*	peak_2821	Promoter	9	51233143	51240080	6938	1	Pou2af1
chr14	22143984	22144461	478	*	peak_839	Intron	14	22019848	23056085	1036238	1	Lrmda
chr10	44448245	44448536	292	*	peak_249	Intron	10	44439667	44457210	17544	2	Prdm1
chr18	24870121	24871134	1014	*	peak_1322	Intron	18	24709445	25133501	424057	1	Fhod3
chr7	114847290	114847595	306	*	peak_2544	Intron	7	114793968	114829198	35231	1	Insc
chr12	17726558	17726758	201	*	peak_598	Promoter	12	17728226	17791126	62901	1	Hpcal1
chr18	61704867	61705333	467	*	peak_1376	Promoter	18	61699475	61707613	8139	2	Pcyox1l
chr19	41480829	41482295	1467	*	peak_1471	Promoter	19	41482637	41562261	79625	1	Lcor
chr9	66091212	66092085	874	*	peak_2853	Promoter	9	66089124	66091347	2224	2	Snx1
chr8	107117057	107117350	294	*	peak_2707	Distal Intergenic	8	107075517	107096547	21031	2	Terf2
chr15	82924138	82925605	1468	*	peak_1031	Intron	15	82808436	82912134	103699	2	Tcf20
chr6	88924597	88925117	521	*	peak_2347	Distal Intergenic	6	88910599	88911755	1157	1	Tpra1
chr10	80434143	80435046	904	*	peak_290	Promoter	10	80409547	80433647	24101	2	Tcf3
chr8	108590714	108591708	995	*	peak_2711	Intron	8	108553252	108584595	31344	2	Lncbate1
chr2	150909594	150909895	302	*	peak_1678	Promoter	2	150909594	150931280	21687	1	Gins1
chr10	21687225	21687703	479	*	peak_223	Promoter	10	21686411	21707440	21030	1	Gm5420
chr17	57275491	57276607	1117	*	peak_1259	Promoter	17	57279100	57327950	48851	1	Vav1
chr1	67065118	67065880	763	*	peak_49	Distal Intergenic	1	67000517	67038872	38356	2	Lancl1
chr11	87709556	87710296	741	*	peak_484	Intron	11	87702123	87704989	2867	1	1110028F11Rik
chr7	13023204	13023893	690	*	peak_2432	Promoter	7	13024152	13031035	6884	1	Trim28
chr11	96316390	96316890	501	*	peak_499	Promoter	11	96317165	96317274	110	1	Mir10a
chr4	138829315	138830227	913	*	peak_2015	Promoter	4	138831857	138835183	3327	1	Pla2g2a
chr16	31683527	31684053	527	*	peak_1120	Promoter	16	31684266	31773787	89522	1	Dlg1
chr11	99063543	99064150	608	*	peak_517	Downstream	11	99068175	99073864	5690	2	Tns4
chr11	43626228	43627141	914	*	peak_412	Distal Intergenic	11	43596049	43601540	5492	2	Fabp6
chr8	61247361	61248186	826	*	peak_2659	Intron	8	61224244	61386641	162398	1	Sh3rf1
chr4	98917613	98918424	812	*	peak_1942	Distal Intergenic	4	98923810	98935543	11734	1	Usp1
chr11	100047302	100047553	252	*	peak_524	Intron	11	100046646	100050551	3906	2	Krt31
chr5	29463369	29463641	273	*	peak_2070	Distal Intergenic	5	29473034	29478470	5437	2	Mnx1
chr10	18407325	18407818	494	*	peak_216	Promoter	10	18407638	18421140	13503	1	Nhsl1
chr13	89929552	89929779	228	*	peak_781	Intron	13	90062075	90089082	27008	2	Xrcc4
chr11	5411348	5413062	1715	*	peak_379	Intron	11	5278602	5381740	103139	2	Znrf3
chr11	80476420	80476628	209	*	peak_466	Promoter	11	80477023	80481184	4162	1	Cdk5r1
chr15	102355501	102356208	708	*	peak_1071	Downstream	15	102350827	102355139	4313	1	Gm36246
chr9	120067243	120068003	761	*	peak_2921	Promoter	9	119901616	120068283	166668	2	Cx3cr1
chr5	66004323	66004529	207	*	peak_2112	Promoter	5	65999678	66004285	4608	2	9130230L23Rik
chr9	115356931	115357190	260	*	peak_2909	Distal Intergenic	9	115381819	115381939	121	1	Mir467h
chr10	99047305	99047507	203	*	peak_315	Distal Intergenic	10	99019037	99022933	3897	1	Atp2b1
chr8	126584507	126584894	388	*	peak_2756	Intron	8	126588296	126593986	5691	2	Irf2bp2
chr13	34301063	34301896	834	*	peak_725	Intron	13	34221370	34344203	122834	2	Slc22a23
chr8	105795836	105796168	333	*	peak_2702	Intron	8	105804527	105827205	22679	2	Ranbp10
chr18	38207789	38208781	993	*	peak_1339	Promoter	18	38196694	38209762	13069	2	Pcdh1
chr3	90466128	90466645	518	*	peak_1783	Promoter	3	90450591	90465866	15276	2	Npr1
chr13	19389366	19389897	532	*	peak_692	5' UTR	13	19357676	19395734	38059	2	Stard3nl
chr9	15245338	15245632	295	*	peak_2779	Intron	9	15239045	15259416	20372	1	Vstm5
chr11	78289434	78289809	376	*	peak_461	Promoter	11	78290841	78293745	2905	1	Rskr
chr8	113390105	113390515	411	*	peak_2721	Distal Intergenic	8	113635587	113643806	8220	1	Mon1b
chr17	43504315	43504860	546	*	peak_1242	Promoter	17	43474324	43502812	28489	2	Mep1a
chr8	69077133	69077357	225	*	peak_2667	Promoter	8	69065110	69077228	12119	2	Slc18a1
chr13	63066533	63066917	385	*	peak_768	Promoter	13	63068115	63240311	172197	1	Aopep
chr8	12097888	12098204	317	*	peak_2613	Distal Intergenic	8	11842061	11855757	13697	1	Tex29
chr1	133093873	133094167	295	*	peak_109	Intron	1	133131143	133139783	8641	1	Ppp1r15b
chr5	101802664	101803098	435	*	peak_2167	Intron	5	101806548	101821447	14900	1	Cds1
chr13	119488741	119489229	489	*	peak_824	Promoter	13	119488860	119610458	121599	1	Tmem267
chr8	6011031	6011494	464	*	peak_2606	Distal Intergenic	8	5083219	5105351	22133	2	Slc10a2
chr9	104874424	104874828	405	*	peak_2895	Promoter	9	104872679	105022421	149743	1	Cpne4
chr2	91729974	91730293	320	*	peak_1619	Promoter	2	91730134	91918849	188716	1	Ambra1
chr19	21036577	21036825	249	*	peak_1438	Distal Intergenic	19	21104502	21107157	2656	1	4930554I06Rik
chr13	34002458	34003604	1147	*	peak_721	Promoter	13	34002874	34037147	34274	1	Ripk1
chrX	155215814	155216558	745	*	peak_2954	Promoter	20	155213132	155216449	3318	2	Sat1
chr12	67123849	67124252	404	*	peak_625	Intron	12	66471515	67221042	749528	2	Mdga2
chr13	10526725	10527162	438	*	peak_690	Intron	13	10120484	10360847	240364	2	Chrm3
chr7	122152495	122152796	302	*	peak_2552	Intron	7	122159439	122169873	10435	1	Plk1
chr5	136966932	136967470	539	*	peak_2227	Promoter	5	136966616	136975858	9243	1	Cldn15
chr3	93367163	93367757	595	*	peak_1785	Intron	3	93393699	93399442	5744	1	Rptn
chr5	125252687	125253090	404	*	peak_2212	Intron	5	125277787	125284159	6373	2	Scarb1
chr5	121837506	121837797	292	*	peak_2202	Promoter	5	121819107	121837646	18540	2	Sh2b3
chr19	38337373	38337652	280	*	peak_1464	Distal Intergenic	19	38395980	38405610	9631	1	Slc35g1
chr13	74071684	74072542	859	*	peak_777	Distal Intergenic	13	74054958	74062299	7342	2	Cep72
chr14	67099367	67099903	537	*	peak_906	Distal Intergenic	14	67014056	67072444	58389	2	Ppp2r2a
chr11	51688876	51689097	222	*	peak_417	Promoter	11	51685386	51688874	3489	2	0610009B22Rik
chr4	136842216	136843235	1020	*	peak_2005	Distal Intergenic	4	136647539	136835988	188450	2	Ephb2
chr5	8421784	8422664	881	*	peak_2056	Promoter	5	8397154	8422582	25429	2	Dbf4
chr11	4675310	4675884	575	*	peak_375	Intron	11	4701982	4704053	2072	2	Uqcr10
chr11	93601809	93602247	439	*	peak_492	Distal Intergenic	11	93875383	93876143	761	2	Utp18
chr2	118256704	118257047	344	*	peak_1639	Promoter	2	118130424	118256956	126533	2	Fsip1
chr16	92904068	92904499	432	*	peak_1170	Distal Intergenic	16	92601466	92826149	224684	2	Runx1
chr2	173349606	173349891	286	*	peak_1713	Distal Intergenic	2	173224458	173276533	52076	2	Pmepa1
chr5	117976324	117976691	368	*	peak_2190	Promoter	5	117976730	118010201	33472	1	Fbxo21
chr12	86212964	86213393	430	*	peak_654	Distal Intergenic	12	86241858	86291784	49927	1	Gpatch2l
chr3	66985415	66985803	389	*	peak_1756	Promoter	3	66985670	66996473	10804	1	Rsrc1
chr11	31809989	31810350	362	*	peak_407	Intron	11	31790113	31824473	34361	2	D630024D03Rik
chr11	79965810	79966038	229	*	peak_465	Distal Intergenic	11	79933953	79962390	28438	2	Utp6
chr4	136802562	136802898	337	*	peak_2004	Intron	4	136654646	136835843	181198	2	Ephb2
chr13	92636811	92637440	630	*	peak_783	Intron	13	92611174	92686193	75020	1	Serinc5
chr15	96625066	96626048	983	*	peak_1048	Intron	15	96575987	96641962	65976	2	Slc38a1
chr1	131461041	131461504	464	*	peak_104	Intron	1	131436675	131504366	67692	2	Srgap2
chr9	96133170	96133588	419	*	peak_2879	3' UTR	9	96124220	96137820	13601	1	Gk5
chr10	40177527	40177979	453	*	peak_240	Distal Intergenic	10	40132902	40142258	9357	2	Slc16a10
chr4	59185730	59186716	987	*	peak_1905	Distal Intergenic	4	59189257	59222833	33577	1	Ugcg
chr18	20611289	20611827	539	*	peak_1316	Intron	18	20558246	20582916	24671	1	Dsg2
chr13	97299726	97300593	868	*	peak_786	Distal Intergenic	13	97241105	97253034	11930	1	Enc1
chr5	100416207	100416795	589	*	peak_2159	Promoter	5	100361649	100416234	54586	2	Sec31a
chr2	91115022	91115235	214	*	peak_1613	Exon	2	91118144	91136510	18367	1	Mybpc3
chr1	9943458	9944059	602	*	peak_9	Promoter	1	9942025	9944103	2079	2	Snhg6
chr4	155066126	155066666	541	*	peak_2048	Promoter	4	155067016	155072433	5418	1	Pex10
chr6	119902388	119902602	215	*	peak_2379	Promoter	6	119902698	119915335	12638	1	Rad52
chr14	114349121	114349699	579	*	peak_943	Distal Intergenic	14	114831965	114861327	29363	1	4930524C18Rik
chr4	82019777	82020215	439	*	peak_1922	Distal Intergenic	4	82065431	82102808	37378	1	Gm5860
chr6	116914189	116914416	228	*	peak_2378	Distal Intergenic	6	116679063	116716913	37851	2	Tmem72
chr7	122066069	122067141	1073	*	peak_2550	Promoter	7	122037213	122067011	29799	2	Ears2
chr6	31129255	31130051	797	*	peak_2282	Intron	6	31086538	31166516	79979	2	Lncpint
chr10	79928240	79928559	320	*	peak_285	Promoter	10	79927341	79954703	27363	1	Arid3a
chr1	38130023	38130631	609	*	peak_24	Promoter	1	38107683	38129801	22119	2	Rev1
chr8	125568687	125568980	294	*	peak_2752	Promoter	8	125516932	125569703	52772	2	Sipa1l2
chr17	70779578	70780026	449	*	peak_1268	Intron	17	70809072	70819401	10330	1	Dlgap1
chr5	37826268	37827968	1701	*	peak_2086	Promoter	5	37820485	37824583	4099	2	Msx1
chr16	10786079	10787013	935	*	peak_1082	Promoter	16	10782243	10785536	3294	2	Socs1
chr7	90095152	90095545	394	*	peak_2510	Distal Intergenic	7	90124822	90129477	4656	2	2310010J17Rik
chr14	120318291	120318635	345	*	peak_948	Intron	14	120306456	120379260	72805	1	Mbnl2
chr8	83036810	83037329	520	*	peak_2682	Intron	8	83165352	83272422	107071	1	Tbc1d9
chr13	63238457	63239795	1339	*	peak_769	Promoter	13	63240029	63302282	62254	1	Aopep
chr19	59349429	59349952	524	*	peak_1502	Distal Intergenic	19	59297178	59345780	48603	2	Pdzd8
chr11	35832173	35832535	363	*	peak_408	Promoter	11	35826495	35834461	7967	2	Rars
chr14	99046740	99046990	251	*	peak_935	Promoter	14	99046480	99061542	15063	1	Bora
chr14	27039036	27039810	775	*	peak_844	Promoter	14	27039079	27089249	50171	1	Il17rd
chr9	31320726	31321072	347	*	peak_2792	Intron	9	31315107	31378543	63437	1	Prdm10
chr8	125337177	125337995	819	*	peak_2751	Distal Intergenic	8	125418063	125492710	74648	2	Sipa1l2
chr4	101292750	101293068	319	*	peak_1948	Intron	4	101152367	101265282	112916	2	Jak1
chr4	128957112	128957501	390	*	peak_1977	Intron	4	128946139	128961398	15260	2	Azin2
chr10	98926836	98927036	201	*	peak_314	Intron	10	98915472	98996930	81459	1	Atp2b1
chr7	133185970	133186724	755	*	peak_2572	Distal Intergenic	7	133128251	133142457	14207	1	4930483O08Rik
chr5	66098246	66098802	557	*	peak_2115	Promoter	5	66016549	66098191	81643	2	Rbm47
chr11	108910868	108911175	308	*	peak_540	Distal Intergenic	11	108920349	108950783	30435	1	Axin2
chr1	169969303	169969634	332	*	peak_162	Promoter	1	169969409	169972396	2988	1	3110045C21Rik
chr15	61905311	61905760	450	*	peak_1000	Distal Intergenic	15	61985391	61990350	4960	1	Myc
chr10	120979645	120979930	286	*	peak_357	Promoter	10	120923852	120979332	55481	2	Lemd3
chr16	76225433	76225992	560	*	peak_1152	Distal Intergenic	16	76294646	76323658	29013	2	Nrip1
chr7	112826047	112826663	617	*	peak_2537	Intron	7	112759546	112842374	82829	1	Tead1
chr3	50026026	50026356	331	*	peak_1741	Intron	3	49745271	49757325	12055	2	Pcdh18
chr2	163716051	163717216	1166	*	peak_1697	Intron	2	163730015	163730866	852	2	Ada
chr11	109070355	109071000	646	*	peak_549	Distal Intergenic	11	109139291	109144369	5079	2	E030025P04Rik
chr4	138410952	138411341	390	*	peak_2007	Distal Intergenic	4	138394092	138396528	2437	2	Fam43b
chr15	78532474	78533157	684	*	peak_1010	Promoter	15	78527394	78531416	4023	2	C1qtnf6
chr6	48601165	48602153	989	*	peak_2298	Promoter	6	48602063	48623227	21165	1	Zfp775
chr3	50262145	50262927	783	*	peak_1743	Intron	3	50364938	50443611	78674	2	Slc7a11
chr16	97643229	97644122	894	*	peak_1186	Distal Intergenic	16	97564682	97611195	46514	2	Tmprss2
chr17	69103024	69103682	659	*	peak_1263	Intron	17	69127000	69289989	162990	1	Epb41l3
chr16	92828128	92828444	317	*	peak_1169	Promoter	16	92601466	92826149	224684	2	Runx1
chr6	127341056	127342241	1186	*	peak_2394	Distal Intergenic	6	127296186	127307967	11782	2	Gm38404
chr4	45586269	45586776	508	*	peak_1885	Distal Intergenic	4	45639744	45646097	6354	1	Gm12408
chr17	45598766	45599217	452	*	peak_1245	Promoter	17	45585200	45599603	14404	2	Slc29a1
chr1	87906439	87906660	222	*	peak_76	Intron	1	87917898	87921971	4074	1	Dgkd
chr2	180276911	180277643	733	*	peak_1720	Downstream	2	180262132	180273496	11365	2	Cables2
chr6	90712710	90713329	620	*	peak_2348	Intron	6	90656088	90716529	60442	2	Iqsec1
chr15	100598273	100598905	633	*	peak_1062	Promoter	15	100586616	100599864	13249	2	Pou6f1
chr7	101249309	101249898	590	*	peak_2521	Intron	7	101244119	101253921	9803	1	Fchsd2
chr9	65021864	65022155	292	*	peak_2852	Promoter	9	64986983	65021693	34711	2	Hacd3
chr19	10286555	10286801	247	*	peak_1430	Intron	19	10245268	10304857	59590	2	Dagla
chr9	21601175	21601859	685	*	peak_2782	Distal Intergenic	9	21607863	21608327	465	2	Gm7904
chr1	188330629	188331211	583	*	peak_190	Intron	1	188263034	188965041	702008	1	Ush2a
chr17	80008490	80009030	541	*	peak_1283	Distal Intergenic	17	80030341	80035556	5216	2	Hnrnpll
chr2	35267474	35268010	537	*	peak_1547	Intron	2	35256449	35290447	33999	1	Gsn
chr4	63032721	63032976	256	*	peak_1914	Intron	4	62965574	63134030	168457	1	Zfp618
chr9	54909700	54909920	221	*	peak_2827	3' UTR	9	54917283	54949924	32642	1	Hykk
chr19	46337896	46338806	911	*	peak_1482	Promoter	19	46329812	46338620	8809	2	Cuedc2
chr2	32533709	32535092	1384	*	peak_1546	Promoter	2	32535332	32569750	34419	1	Fam102a
chr1	191883718	191883974	257	*	peak_199	Downstream	1	191890233	191899256	9024	2	1700034H15Rik
chr9	50745196	50745745	550	*	peak_2819	Promoter	9	50739691	50746536	6846	2	2310030G06Rik
chr7	19876494	19877195	702	*	peak_2440	3' UTR	7	19875742	19887965	12224	2	Ceacam19
chr10	21093023	21093450	428	*	peak_222	Distal Intergenic	10	21069845	21074406	4562	1	Ahi1
chr6	113487117	113487339	223	*	peak_2367	Promoter	6	113487494	113489725	2232	1	Creld1
chr19	6600763	6601123	361	*	peak_1423	Distal Intergenic	19	6535845	6543032	7188	2	Slc22a12
chr1	162867410	162867864	455	*	peak_149	Promoter	1	162829561	162866610	37050	2	Fmo1
chr2	20445596	20446097	502	*	peak_1519	Intron	2	20510047	20709603	199557	1	Etl4
chr12	87299362	87300926	1565	*	peak_656	Promoter	12	87278638	87299705	21068	2	Ism2
chr17	4974877	4975622	746	*	peak_1187	Distal Intergenic	17	4994332	5097733	103402	1	Arid1b
chr5	146636728	146637118	391	*	peak_2244	Distal Intergenic	5	146582400	146585239	2840	2	Gpr12
chr8	88451084	88451678	595	*	peak_2691	Distal Intergenic	8	88521354	88593618	72265	1	Nkd1
chr13	54602136	54602887	752	*	peak_756	Intron	13	54593538	54599161	5624	2	Cltb
chr11	109106337	109107148	812	*	peak_552	Distal Intergenic	11	109139291	109144369	5079	2	E030025P04Rik
chr18	69593321	69593923	603	*	peak_1386	Promoter	18	69593372	69657898	64527	1	Tcf4
chr11	77280201	77280525	325	*	peak_458	Intron	11	77216287	77460220	243934	1	Ssh2
chr12	79526059	79526318	260	*	peak_641	Intron	12	79327353	79701856	374504	1	Rad51b
chr14	121129255	121129474	220	*	peak_950	Intron	14	121102079	121238659	136581	1	Farp1
chr5	134326429	134326856	428	*	peak_2219	Promoter	5	134326454	134326522	69	1	Mir3965
chr8	92449564	92450418	855	*	peak_2699	Distal Intergenic	8	92357749	92361456	3708	1	Irx5
chr6	137611828	137612764	937	*	peak_2410	Intron	6	137522862	137589026	66165	2	Eps8
chr5	123968939	123969183	245	*	peak_2208	3' UTR	5	123973628	124005558	31931	1	Hip1r
chr1	185616958	185617267	310	*	peak_186	Distal Intergenic	1	185497388	185498017	630	1	5033404E19Rik
chr16	22452207	22452412	206	*	peak_1100	Distal Intergenic	16	22381309	22439719	58411	2	Etv5
chr1	93160205	93160540	336	*	peak_85	Promoter	1	93151583	93160870	9288	2	Mab21l4
